Timestamp,האם נכשלת במועד א?,מה היה ציון הבחינה במועד א?,מה היה הציון הסופי לאחר מועד א?,האם עשית מועד ב בעבר?,האם בעבר ניגשת למועד ב ושיפרת את ציון מועד א?,האם היית בטוח/ה שתוכל/י לשפר את ציון הבחינה?,כמה זמן היה לך ללמוד למועד ב? בימים,איך היית מגדיר/ה את דרגת הקושי של המבחן?,מה סוג הבחינה?,צורת ההיבחנות?,האם ניתן פקטור לציון במועד א?,האם בדרך כלל במקצוע הבחינה מבחני מועד ב קשים יותר ממבחני מועד א?,האם ניגשת למועד ב בסוף?
8/9/2022 16:50:31,לא,70-79,70-79,כן,כן,אולי,4,קשה,פתוח,ידנית,לא,לא יודע/ת,כן
8/9/2022 17:28:18,כן,55-69,פחות מ 60,לא,לא,אולי,7+,בינוני,פתוח,ידנית,לא,כן,כן
8/9/2022 18:06:38,לא,70-79,70-79,כן,כן,כן,2,בינוני,אמריקאי,דרך מחשב,לא,לא,כן
8/9/2022 18:07:19,לא,70-79,70-79,כן,כן,אולי,7+,קשה מאוד,פתוח,ידנית,לא,כן,לא
8/9/2022 18:54:10,לא,70-79,80-89,לא,לא,אולי,7+,קשה,פתוח,ידנית,כן,כן,לא
8/9/2022 18:58:30,כן,55-69,60-69,כן,כן,כן,5,קשה מאוד,פתוח,ידנית,לא,כן,כן
8/9/2022 19:01:39,כן,פחות מ 55,פחות מ 60,כן,כן,כן,4,קשה מאוד,,ידנית,לא,כן,כן
8/9/2022 19:02:25,לא,55-69,60-69,כן,כן,כן,3,קשה,שילוב של השניים,ידנית,לא,לא יודע/ת,לא
8/9/2022 20:22:58,כן,פחות מ 55,פחות מ 60,כן,כן,כן,7+,בינוני,אמריקאי,ידנית,כן,לא יודע/ת,כן
8/10/2022 9:24:01,לא,70-79,80-89,לא,לא,אולי,7+,קשה,אמריקאי,ידנית,כן,לא יודע/ת,לא
8/10/2022 9:43:08,כן,70-79,70-79,כן,כן,כן,7+,קשה,פתוח,ידנית,לא,לא יודע/ת,כן
8/10/2022 9:46:35,לא,70-79,70-79,כן,כן,כן,7+,בינוני,פתוח,דרך מחשב,לא,לא יודע/ת,כן
8/10/2022 9:47:29,כן,פחות מ 55,פחות מ 60,כן,כן,כן,5,קשה,שילוב של השניים,ידנית,לא,לא יודע/ת,כן
8/10/2022 10:47:55,לא,55-69,60-69,לא,לא,כן,7+,קשה,שילוב של השניים,דרך מחשב,לא,לא יודע/ת,כן
8/10/2022 10:48:42,לא,55-69,60-69,כן,כן,אולי,7+,קשה,פתוח,ידנית,כן,לא יודע/ת,כן
8/10/2022 10:49:31,לא,55-69,70-79,כן,כן,כן,7+,קשה,פתוח,ידנית,כן,לא יודע/ת,לא
8/10/2022 10:50:21,לא,55-69,80-89,כן,כן,אולי,7+,קשה מאוד,אמריקאי,דרך מחשב,לא,לא,לא
8/10/2022 10:51:17,לא,55-69,70-79,כן,כן,אולי,7+,קשה מאוד,אמריקאי,דרך מחשב,לא,כן,לא
8/10/2022 11:12:38,כן,פחות מ 55,פחות מ 60,כן,כן,לא,7+,קשה מאוד,פתוח,ידנית,כן,לא,כן
8/10/2022 13:04:19,כן,פחות מ 55,פחות מ 60,כן,כן,כן,7+,בינוני,שילוב של השניים,ידנית,כן,לא יודע/ת,כן
8/11/2022 0:59:47,לא,פחות מ 55,פחות מ 60,כן,כן,לא,7+,קשה מאוד,שילוב של השניים,דרך מחשב,לא,כן,כן
8/11/2022 1:00:27,לא,55-69,60-69,כן,כן,אולי,5,בינוני,פתוח,ידנית,לא,כן,כן
8/13/2022 20:48:11,כן,פחות מ 55,פחות מ 60,כן,לא,לא,4,קשה,שילוב של השניים,ידנית,לא,לא יודע/ת,כן
8/13/2022 23:43:20,לא,80-89,90-100,לא,לא,לא,4,קשה,שילוב של השניים,דרך מחשב,לא,לא יודע/ת,לא
8/15/2022 9:57:47,כן,פחות מ 55,70-79,כן,כן,אולי,7+,קשה,שילוב של השניים,דרך מחשב,לא,לא,כן
8/18/2022 13:37:43,לא,55-69,60-69,כן,כן,כן,7+,קשה,פתוח,ידנית,לא,לא יודע/ת,כן
